"Site","Event","Form","Expected","Due","Entered","% Due Entered","% Expected Entered"
".Overall","Baseline","Randomisation",98,98,94,95.9,95.9
".Overall","Baseline","Consent & eligibility",98,98,96,98,98
".Overall","Baseline","EQ-5D",98,98,88,89.8,89.8
".Overall","Discharge","Discharge form",98,98,96,98,98
".Overall","Discharge","PRODIGI",98,98,93,94.9,94.9
".Overall","Discharge","EQ-5D",98,98,83,84.7,84.7
".Overall","Discharge","QoR-15",98,98,88,89.8,89.8
".Overall","Day 30","Day 30 form",98,90,83,92.2,84.7
".Overall","Day 30","EQ-5D",98,90,76,84.4,77.6
".Overall","Day 30","Patient satisfaction",98,90,76,84.4,77.6
".Overall","Day 30","HRUQ",98,90,79,87.8,80.6
".Overall","Day 90","Day 90 form",98,85,78,91.8,79.6
".Overall","Day 90","EQ-5D",98,85,79,92.9,80.6
".Overall","Day 90","HRUQ",98,85,72,84.7,73.5
"Example site A","Baseline","Randomisation",22,22,22,100,100
"Example site A","Baseline","Consent & eligibility",22,22,22,100,100
"Example site A","Baseline","EQ-5D",22,22,22,100,100
"Example site A","Discharge","Discharge form",22,22,22,100,100
"Example site A","Discharge","PRODIGI",22,22,22,100,100
"Example site A","Discharge","EQ-5D",22,22,21,95.5,95.5
"Example site A","Discharge","QoR-15",22,22,22,100,100
"Example site A","Day 30","Day 30 form",22,20,20,100,90.9
"Example site A","Day 30","EQ-5D",22,20,20,100,90.9
"Example site A","Day 30","Patient satisfaction",22,20,20,100,90.9
"Example site A","Day 30","HRUQ",22,20,20,100,90.9
"Example site A","Day 90","Day 90 form",22,19,19,100,86.4
"Example site A","Day 90","EQ-5D",22,19,19,100,86.4
"Example site A","Day 90","HRUQ",22,19,18,94.7,81.8
"Example site B","Baseline","Randomisation",16,16,16,100,100
"Example site B","Baseline","Consent & eligibility",16,16,16,100,100
"Example site B","Baseline","EQ-5D",16,16,16,100,100
"Example site B","Discharge","Discharge form",16,16,16,100,100
"Example site B","Discharge","PRODIGI",16,16,15,93.8,93.8
"Example site B","Discharge","EQ-5D",16,16,13,81.2,81.2
"Example site B","Discharge","QoR-15",16,16,13,81.2,81.2
"Example site B","Day 30","Day 30 form",16,15,15,100,93.8
