"Site","Event","Form","Expected","Due","Entered","% Due Entered","% Expected Entered"
".Overall","Baseline","Randomisation",82,82,77,93.9,93.9
".Overall","Baseline","Consent & eligibility",82,82,78,95.1,95.1
".Overall","Baseline","EQ-5D",82,82,73,89,89
".Overall","Discharge","Discharge form",82,80,74,92.5,90.2
".Overall","Discharge","PRODIGI",82,80,74,92.5,90.2
".Overall","Discharge","EQ-5D",82,80,74,92.5,90.2
".Overall","Discharge","QoR-15",82,80,73,91.2,89
".Overall","Day 30","Day 30 form",82,72,71,98.6,86.6
".Overall","Day 30","EQ-5D",82,72,63,87.5,76.8
".Overall","Day 30","Patient satisfaction",82,72,68,94.4,82.9
".Overall","Day 30","HRUQ",82,72,66,91.7,80.5
".Overall","Day 90","Day 90 form",82,60,54,90,65.9
".Overall","Day 90","EQ-5D",82,60,50,83.3,61
".Overall","Day 90","HRUQ",82,60,48,80,58.5
"Example site A","Baseline","Randomisation",19,19,19,100,100
"Example site A","Baseline","Consent & eligibility",19,19,19,100,100
"Example site A","Baseline","EQ-5D",19,19,19,100,100
"Example site A","Discharge","Discharge form",19,18,18,100,94.7
"Example site A","Discharge","PRODIGI",19,18,18,100,94.7
"Example site A","Discharge","EQ-5D",19,18,18,100,94.7
"Example site A","Discharge","QoR-15",19,18,18,100,94.7
"Example site A","Day 30","Day 30 form",19,17,17,100,89.5
"Example site A","Day 30","EQ-5D",19,17,17,100,89.5
"Example site A","Day 30","Patient satisfaction",19,17,16,94.1,84.2
"Example site A","Day 30","HRUQ",19,17,15,88.2,78.9
"Example site A","Day 90","Day 90 form",19,14,13,92.9,68.4
"Example site A","Day 90","EQ-5D",19,14,13,92.9,68.4
"Example site A","Day 90","HRUQ",19,14,13,92.9,68.4
"Example site B","Baseline","Randomisation",14,14,14,100,100
"Example site B","Baseline","Consent & eligibility",14,14,14,100,100
"Example site B","Baseline","EQ-5D",14,14,13,92.9,92.9
"Example site B","Discharge","Discharge form",14,13,12,92.3,85.7
"Example site B","Discharge","PRODIGI",14,13,11,84.6,78.6
"Example site B","Discharge","EQ-5D",14,13,12,92.3,85.7
"Example site B","Discharge","QoR-15",14,13,13,100,92.9
