"Site","Event","Form","Expected","Due","Entered","% Due Entered","% Expected Entered"
".Overall","Baseline","Randomisation",36,36,33,91.7,91.7
".Overall","Baseline","Consent & eligibility",36,36,34,94.4,94.4
".Overall","Baseline","EQ-5D",36,36,32,88.9,88.9
".Overall","Discharge","Discharge form",36,34,31,91.2,86.1
".Overall","Discharge","PRODIGI",36,34,31,91.2,86.1
".Overall","Discharge","EQ-5D",36,34,30,88.2,83.3
".Overall","Discharge","QoR-15",36,34,29,85.3,80.6
".Overall","Day 30","Day 30 form",36,25,22,88,61.1
".Overall","Day 30","EQ-5D",36,25,17,68,47.2
".Overall","Day 30","Patient satisfaction",36,25,20,80,55.6
".Overall","Day 30","HRUQ",36,25,20,80,55.6
".Overall","Day 90","Day 90 form",36,0,0,,0
".Overall","Day 90","EQ-5D",36,0,0,,0
".Overall","Day 90","HRUQ",36,0,0,,0
"Example site A","Baseline","Randomisation",8,8,8,100,100
"Example site A","Baseline","Consent & eligibility",8,8,8,100,100
"Example site A","Baseline","EQ-5D",8,8,8,100,100
"Example site A","Discharge","Discharge form",8,7,7,100,87.5
"Example site A","Discharge","PRODIGI",8,7,7,100,87.5
"Example site A","Discharge","EQ-5D",8,7,7,100,87.5
"Example site A","Discharge","QoR-15",8,7,7,100,87.5
"Example site A","Day 30","Day 30 form",8,6,6,100,75
"Example site A","Day 30","EQ-5D",8,6,5,83.3,62.5
"Example site A","Day 30","Patient satisfaction",8,6,6,100,75
"Example site A","Day 30","HRUQ",8,6,5,83.3,62.5
"Example site A","Day 90","Day 90 form",8,0,0,,0
"Example site A","Day 90","EQ-5D",8,0,0,,0
"Example site A","Day 90","HRUQ",8,0,0,,0
"Example site B","Baseline","Randomisation",6,6,6,100,100
"Example site B","Baseline","Consent & eligibility",6,6,6,100,100
"Example site B","Baseline","EQ-5D",6,6,6,100,100
"Example site B","Discharge","Discharge form",6,5,4,80,66.7
"Example site B","Discharge","PRODIGI",6,5,5,100,83.3
"Example site B","Discharge","EQ-5D",6,5,5,100,83.3
"Example site B","Discharge","QoR-15",6,5,4,80,66.7
"Example site B","Day 30","Day 30 form",6,4,4,100,66.7
"Example site B","Day 30","EQ-5D",6,4,4,100,66.7
"Example site B","Day 30","Patient satisfaction",6,4,3,75,50
"Example site B","Day 30","HRUQ",6,4,4,100,66.7
"Example site B","Day 90","Day 90 form",6,0,0,,0
"Example site B","Day 90","EQ-5D",6,0,0,,0
"Example site B","Day 90","HRUQ",6,0,0,,0
"Example site C","Baseline","Randomisation",5,5,3,60,60
"Example site C","Baseline","Consent & eligibility",5,5,5,100,100
"Example site C","Baseline","EQ-5D",5,5,4,80,80
"Example site C","Discharge","Discharge form",5,5,5,100,100
"Example site C","Discharge","PRODIGI",5,5,4,80,80
"Example site C","Discharge","EQ-5D",5,5,4,80,80
"Example site C","Discharge","QoR-15",5,5,5,100,100
"Example site C","Day 30","Day 30 form",5,3,2,66.7,40
"Example site C","Day 30","EQ-5D",5,3,2,66.7,40
"Example site C","Day 30","Patient satisfaction",5,3,2,66.7,40
"Example site C","Day 30","HRUQ",5,3,2,66.7,40
"Example site C","Day 90","Day 90 form",5,0,0,,0
"Example site C","Day 90","EQ-5D",5,0,0,,0
"Example site C","Day 90","HRUQ",5,0,0,,0
"Example site D","Baseline","Randomisation",4,4,4,100,100
"Example site D","Baseline","Consent & eligibility",4,4,4,100,100
"Example site D","Baseline","EQ-5D",4,4,3,75,75
"Example site D","Discharge","Discharge form",4,4,4,100,100
"Example site D","Discharge","PRODIGI",4,4,4,100,100
"Example site D","Discharge","EQ-5D",4,4,4,100,100
"Example site D","Discharge","QoR-15",4,4,4,100,100
"Example site D","Day 30","Day 30 form",4,3,3,100,75
"Example site D","Day 30","EQ-5D",4,3,3,100,75
"Example site D","Day 30","Patient satisfaction",4,3,2,66.7,50
"Example site D","Day 30","HRUQ",4,3,3,100,75
"Example site D","Day 90","Day 90 form",4,0,0,,0
"Example site D","Day 90","EQ-5D",4,0,0,,0
"Example site D","Day 90","HRUQ",4,0,0,,0
"Example site E","Baseline","Randomisation",3,3,2,66.7,66.7
"Example site E","Baseline","Consent & eligibility",3,3,3,100,100
"Example site E","Baseline","EQ-5D",3,3,1,33.3,33.3
"Example site E","Discharge","Discharge form",3,3,1,33.3,33.3
"Example site E","Discharge","PRODIGI",3,3,1,33.3,33.3
"Example site E","Discharge","EQ-5D",3,3,2,66.7,66.7
"Example site E","Discharge","QoR-15",3,3,1,33.3,33.3
"Example site E","Day 30","Day 30 form",3,2,1,50,33.3
"Example site E","Day 30","EQ-5D",3,2,0,0,0
"Example site E","Day 30","Patient satisfaction",3,2,1,50,33.3
"Example site E","Day 30","HRUQ",3,2,1,50,33.3
"Example site E","Day 90","Day 90 form",3,0,0,,0
"Example site E","Day 90","EQ-5D",3,0,0,,0
"Example site E","Day 90","HRUQ",3,0,0,,0
"Example site F","Baseline","Randomisation",4,4,4,100,100
"Example site F","Baseline","Consent & eligibility",4,4,4,100,100
"Example site F","Baseline","EQ-5D",4,4,4,100,100
"Example site F","Discharge","Discharge form",4,4,4,100,100
"Example site F","Discharge","PRODIGI",4,4,4,100,100
"Example site F","Discharge","EQ-5D",4,4,4,100,100
"Example site F","Discharge","QoR-15",4,4,3,75,75
"Example site F","Day 30","Day 30 form",4,3,3,100,75
"Example site F","Day 30","EQ-5D",4,3,2,66.7,50
"Example site F","Day 30","Patient satisfaction",4,3,3,100,75
"Example site F","Day 30","HRUQ",4,3,2,66.7,50
"Example site F","Day 90","Day 90 form",4,0,0,,0
"Example site F","Day 90","EQ-5D",4,0,0,,0
"Example site F","Day 90","HRUQ",4,0,0,,0
"Example site G","Baseline","Randomisation",4,4,4,100,100
"Example site G","Baseline","Consent & eligibility",4,4,2,50,50
"Example site G","Baseline","EQ-5D",4,4,4,100,100
"Example site G","Discharge","Discharge form",4,4,4,100,100
"Example site G","Discharge","PRODIGI",4,4,4,100,100
"Example site G","Discharge","EQ-5D",4,4,2,50,50
"Example site G","Discharge","QoR-15",4,4,3,75,75
"Example site G","Day 30","Day 30 form",4,3,2,66.7,50
"Example site G","Day 30","EQ-5D",4,3,0,0,0
"Example site G","Day 30","Patient satisfaction",4,3,2,66.7,50
"Example site G","Day 30","HRUQ",4,3,2,66.7,50
"Example site G","Day 90","Day 90 form",4,0,0,,0
"Example site G","Day 90","EQ-5D",4,0,0,,0
"Example site G","Day 90","HRUQ",4,0,0,,0
"Example site H","Baseline","Randomisation",2,2,2,100,100
"Example site H","Baseline","Consent & eligibility",2,2,2,100,100
"Example site H","Baseline","EQ-5D",2,2,2,100,100
"Example site H","Discharge","Discharge form",2,2,2,100,100
"Example site H","Discharge","PRODIGI",2,2,2,100,100
"Example site H","Discharge","EQ-5D",2,2,2,100,100
"Example site H","Discharge","QoR-15",2,2,2,100,100
"Example site H","Day 30","Day 30 form",2,1,1,100,50
"Example site H","Day 30","EQ-5D",2,1,1,100,50
"Example site H","Day 30","Patient satisfaction",2,1,1,100,50
"Example site H","Day 30","HRUQ",2,1,1,100,50
"Example site H","Day 90","Day 90 form",2,0,0,,0
"Example site H","Day 90","EQ-5D",2,0,0,,0
"Example site H","Day 90","HRUQ",2,0,0,,0
